      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
117  0.059266    0.995488  0.060393  -0.312403  -0.321717   0.363530   0.363024    5.821462    5.803611
118  0.059764    0.999636  0.060854  -0.260754  -0.270141   0.371210   0.370688    5.950503    5.932384
119  0.060262    1.003953  0.061335  -0.208888  -0.218348   0.379013   0.378474    6.080532    6.062135
120  0.060760    1.008454  0.061838  -0.156803  -0.166337   0.386942   0.386386    6.211558    6.192873
121  0.061258    1.013149  0.062364  -0.104495  -0.114105   0.394997   0.394422    6.343590    6.324605
122  0.061756    1.018057  0.062915  -0.051962  -0.061648   0.403180   0.402587    6.476635    6.457340
123  0.062254    1.023195  0.063495   0.000799  -0.008966   0.411493   0.410880    6.610703    6.591085
124  0.062752    1.028586  0.064105   0.053791   0.043946   0.419937   0.419303    6.745803    6.725848
125  0.063250    1.034253  0.064748   0.107016   0.097090   0.428514   0.427858    6.881943    6.861636
126  0.063748    1.040223  0.065429   0.160476   0.150469   0.437226   0.436546    7.019133    6.998457
127  0.064246    1.046528  0.066150   0.214176   0.204084   0.446073   0.445368    7.157380    7.136317
128  0.064744    1.053204  0.066916   0.268117   0.257940   0.455058   0.454327    7.296695    7.275223
129  0.065242    1.060292  0.067734   0.322302   0.312037   0.464183   0.463423    7.437086    7.415182
130  0.065740    1.067843  0.068608   0.376734   0.366379   0.473448   0.472659    7.578562    7.556200
131  0.066238    1.075915  0.069547   0.431415   0.420968   0.482856   0.482035    7.721131    7.698281
132  0.066736    1.084578  0.070559   0.486348   0.475806   0.492409   0.491552    7.864803    7.841431
133  0.067234    1.093916  0.071656   0.541536   0.530897   0.502107   0.501213    8.009587    7.985653
134  0.067732    1.104032  0.072850   0.596980   0.586241   0.511953   0.511018    8.155492    8.130949
135  0.068230    1.115052  0.074158   0.652685   0.641842   0.521949   0.520969    8.302526    8.277321
136  0.068728    1.127130  0.075601   0.708651   0.697702   0.532095   0.531066    8.450699    8.424766
137  0.069226    1.140464  0.077204   0.764882   0.753823   0.542395   0.541310    8.600019    8.573280
138  0.069724    1.155298  0.079000   0.821381   0.810207   0.552850   0.551702    8.750497    8.722855
139  0.070222    1.171941  0.081031   0.878150   0.866855   0.563461   0.562241    8.902141    8.873476
140  0.070720    1.190792  0.083350   0.935191   0.923770   0.574230   0.572928    9.054959    9.025120
141  0.071218    1.212331  0.086023   0.992507   0.980952   0.585159   0.583760    9.208962    9.177755
142  0.071716    1.237118  0.089130   1.050101   1.038404   0.596251   0.594736    9.364159    9.331335
143  0.072214    1.265708  0.092753   1.107975   1.096126   0.607506   0.605852    9.520558    9.485801
144  0.072712    1.298451  0.096951   1.166131   1.154117   0.618927   0.617105    9.678169    9.641091
145  0.073210    1.335144  0.101713   1.224572   1.212379   0.630516   0.628492    9.837001    9.797161
146  0.073708    1.374777  0.106920   1.283301   1.270911   0.642274   0.640014    9.997063    9.954017
147  0.074206    1.415767  0.112370   1.342320   1.329712   0.654203   0.651678   10.158366   10.111723
148  0.074704    1.456582  0.117856   1.401632   1.388784   0.666306   0.663490   10.320917   10.270375
149  0.075202    1.496253  0.123240   1.461239   1.448128   0.678584   0.675459   10.484727   10.430059
150  0.075700    1.534363  0.128454   1.521143   1.507744   0.691040   0.687590   10.649805   10.590834
151  0.076198    1.570875  0.133485   1.581347   1.567636   0.703674   0.699886   10.816160   10.752734
152  0.076696    1.605931  0.138345   1.641854   1.627805   0.716490   0.712350   10.983802   10.915776
153  0.077194    1.639733  0.143055   1.702665   1.688254   0.729489   0.724984   11.152741   11.079967
154  0.077692    1.672509  0.147641   1.763785   1.748983   0.742673   0.737788   11.322985   11.245306
155  0.078190    1.704467  0.152130   1.825214   1.809996   0.756045   0.750764   11.494544   11.411792
156  0.078688    1.735807  0.156545   1.886955   1.871293   0.769606   0.763913   11.667428   11.579416
